year,type,amount,total,Growth,House,Senate,President
1970,pension,28.4,195.65,0,D,D,R
1971,pension,35.01,210.17,23.27464789,D,D,R
1972,pension,40.35,230.68,15.25278492,D,D,R
1973,pension,51.13,245.71,26.71623296,D,D,R
1974,pension,59.4,269.36,16.17445727,D,D,R
1975,pension,71.41,332.33,20.21885522,D,D,R
1976,pension,80.91,371.79,13.3034589,D,D,R
1977,pension,93.85,409.22,15.99307873,D,D,D
1978,pension,103.62,458.75,10.41022909,D,D,D
1979,pension,116.91,504.03,12.82570932,D,D,D
1980,pension,134.4,590.94,14.96022581,D,D,D
1981,pension,158.42,678.24,17.87202381,D,D,R
1982,pension,176.03,745.74,11.1160207,D,R,R
1983,pension,189.35,808.36,7.566892007,D,R,R
1984,pension,196.48,851.81,3.765513599,D,R,R
1985,pension,205.7,946.34,4.692589577,D,R,R
1986,pension,217.19,990.38,5.58580457,D,R,R
1987,pension,226.14,1004.02,4.120815876,D,R,R
1988,pension,238.14,1064.42,5.306447334,D,D,R
1989,pension,253.11,1143.74,6.286218191,D,D,R
1990,pension,272.2,1252.99,7.542175339,D,D,R
1991,pension,293.9,1324.23,7.972079353,D,D,R
1992,pension,313.93,1381.53,6.81524328,D,D,R
1993,pension,334.42,1409.39,6.526932756,D,D,D
1994,pension,353.05,1461.75,5.570839065,D,D,D
1995,pension,372.44,1515.74,5.492139924,D,D,D
1996,pension,389.44,1560.48,4.56449361,R,R,D
1997,pension,407.26,1601.12,4.57580115,R,R,D
1998,pension,422.46,1652.46,3.73225949,R,R,D
1999,pension,431.47,1701.84,2.132746296,R,R,D
2000,pension,453.91,1788.95,5.200825086,R,R,D
2001,pension,480.9,1862.85,5.946112666,R,R,R
2002,pension,502.72,2010.89,4.537325847,R,R,R
2003,pension,517.53,2159.9,2.945973902,R,R,R
2004,pension,537.42,2292.84,3.843255463,R,R,R
2005,pension,564.71,2471.96,5.077965092,R,R,R
2006,pension,590.58,2655.05,4.581112429,R,R,R
2007,pension,636.12,2728.69,7.7110637,R,R,R
2008,pension,668.75,2982.54,5.129535308,D,D,R
2009,pension,738.64,3517.68,10.45084112,D,D,D
2010,pension,756.13,3457.08,2.367865266,D,D,D
2011,pension,782.28,3603.06,3.458400011,D,D,D
2012,pension,819.5,3536.95,4.757887202,R,D,D
2013,pension,870.94,3454.65,6.27699817,R,D,D
2014,pension,914.57,3506.11,5.009529933,R,D,D
2015,pension,953.6,3688.29,4.2675793,R,D,D
1970,healthcare,12.12,195.65,0,D,D,R
1971,healthcare,13.47,210.17,11.13861386,D,D,R
1972,healthcare,16.15,230.68,19.89606533,D,D,R
1973,healthcare,17.41,245.71,7.801857585,D,D,R
1974,healthcare,20.37,269.36,17.00172315,D,D,R
1975,healthcare,25.8,332.33,26.65684831,D,D,R
1976,healthcare,31.57,371.79,22.36434109,D,D,R
1977,healthcare,36.65,409.22,16.09122585,D,D,D
1978,healthcare,41.29,458.75,12.66030014,D,D,D
1979,healthcare,46.99,504.03,13.80479535,D,D,D
1980,healthcare,55.26,590.94,17.59948925,D,D,D
1981,healthcare,66.02,678.24,19.47158885,D,D,R
1982,healthcare,74.01,745.74,12.10239321,D,R,R
1983,healthcare,81.23,808.36,9.755438454,D,R,R
1984,healthcare,87.96,851.81,8.285116336,D,R,R
1985,healthcare,99.36,946.34,12.96043656,D,R,R
1986,healthcare,106.1,990.38,6.783413849,D,R,R
1987,healthcare,115.08,1004.02,8.463713478,D,R,R
1988,healthcare,123.36,1064.42,7.194994786,D,D,R
1989,healthcare,133.34,1143.74,8.090142672,D,D,R
1990,healthcare,155.8,1252.99,16.84415779,D,D,R
1991,healthcare,175.66,1324.23,12.74711168,D,D,R
1992,healthcare,208.51,1381.53,18.70089946,D,D,R
1993,healthcare,229.95,1409.39,10.28248046,D,D,D
1994,healthcare,251.86,1461.75,9.528158295,D,D,D
1995,healthcare,275.25,1515.74,9.286905424,D,D,D
1996,healthcare,293.59,1560.48,6.663033606,R,R,D
1997,healthcare,313.85,1601.12,6.900779999,R,R,D
1998,healthcare,324.25,1652.46,3.313684881,R,R,D
1999,healthcare,331.5,1701.84,2.235929067,R,R,D
2000,healthcare,351.62,1788.95,6.069381599,R,R,D
2001,healthcare,389.62,1862.85,10.80712132,R,R,R
2002,healthcare,427.35,2010.89,9.683794466,R,R,R
2003,healthcare,468.97,2159.9,9.739089739,R,R,R
2004,healthcare,509.48,2292.84,8.638079195,R,R,R
2005,healthcare,549.19,2471.96,7.794221559,R,R,R
2006,healthcare,582.61,2655.05,6.085325661,R,R,R
2007,healthcare,641.79,2728.69,10.15773845,R,R,R
2008,healthcare,671.36,2982.54,4.607426105,D,D,R
2009,healthcare,764.43,3517.68,13.86290515,D,D,D
2010,healthcare,820.7,3457.08,7.361040252,D,D,D
2011,healthcare,858.16,3603.06,4.564396247,D,D,D
2012,healthcare,818.54,3536.95,-4.616854666,R,D,D
2013,healthcare,856.14,3454.65,4.593544604,R,D,D
2014,healthcare,921.14,3506.11,7.592216226,R,D,D
2015,healthcare,1028.43,3688.29,11.64752372,R,D,D
